SMILES                                                                                                       ,SMILES                                                                                                       ,MolWt             ,MolLogP            ,pChEMBL Value     ,pChEMBL Value_pred_mean_cv_train,pChEMBL Value_pred_std_cv_train,pChEMBL Value_pred_mean_cv,pChEMBL Value_pred_std_cv,cv_error_train        ,absolute_cv_error_train,cv_error              ,absolute_cv_error
C[C@@H](/N=C(\S)Nc1ccc(Cl)cn1)c1ccccc1                                                                       ,C[C@@H](/N=C(\S)Nc1ccc(Cl)cn1)c1ccccc1                                                                       ,291.807           ,4.193900000000003  ,5.92              ,5.935126036185354               ,0.0768668021200047             ,5.922327150066282         ,0.13614019873997346      ,0.015126036185353797  ,0.015126036185353797   ,0.0023271500662822575 ,0.0023271500662822575
Cc1cccc(N2C(=O)CSC2c2c(Cl)cccc2Cl)n1                                                                         ,Cc1cccc(N2C(=O)CSC2c2c(Cl)cccc2Cl)n1                                                                         ,339.24699999999996,4.475420000000003  ,5.65              ,5.297533254492147               ,0.17370109975323347            ,4.854639683419186         ,0.1694165790778856       ,-0.3524667455078534   ,0.3524667455078534     ,-0.7953603165808145   ,0.7953603165808145
CCN1c2ncccc2C(=O)N(C)c2ccc(-c3cccc(O)c3)nc21                                                                 ,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3cccc(O)c3)nc21                                                                 ,346.3900000000001 ,3.5972000000000026 ,6.875             ,6.829525018891831               ,0.11884613222032711            ,6.674681455182162         ,0.20471778102370608      ,-0.04547498110816939  ,0.04547498110816939    ,-0.20031854481783817  ,0.20031854481783817
CCN1c2ncc(CSc3[nH]cnc4nncc3-4)cc2C(=O)N(C)c2ccc(Cl)nc21                                                      ,CCN1c2ncc(CSc3[nH]cnc4nncc3-4)cc2C(=O)N(C)c2ccc(Cl)nc21                                                      ,452.9310000000002 ,3.7882000000000025 ,7.23              ,7.166202915575878               ,0.08600676987705731            ,6.954750970867224         ,0.09616143451011523      ,-0.06379708442412202  ,0.06379708442412202    ,-0.2752490291327767   ,0.2752490291327767
CCN1c2ncccc2C(=O)N(C)c2ccc(-c3ccc(OC)nc3)nc21                                                                ,CCN1c2ncccc2C(=O)N(C)c2ccc(-c3ccc(OC)nc3)nc21                                                                ,361.40500000000014,3.2952000000000017 ,5.72              ,6.101189535147534               ,0.15764329248482112            ,6.579216361883989         ,0.08854390494997352      ,0.3811895351475343    ,0.3811895351475343     ,0.8592163618839894    ,0.8592163618839894
CNC(=O)c1ccc(F)c(CC/N=C(\S)Nc2ccc(Br)cn2)c1F                                                                 ,CNC(=O)c1ccc(F)c(CC/N=C(\S)Nc2ccc(Br)cn2)c1F                                                                 ,429.29            ,3.4223000000000017 ,7.64              ,7.661437702163037               ,0.0515191903069212             ,7.473740252563014         ,0.2152507263647382       ,0.021437702163037642  ,0.021437702163037642   ,-0.16625974743698535  ,0.16625974743698535
CCc1c(C)[nH]c(=O)c(NC=O)c1Cc1cc(C)cc(C)c1                                                                    ,CCc1c(C)[nH]c(=O)c(NC=O)c1Cc1cc(C)cc(C)c1                                                                    ,298.38599999999997,3.0216600000000016 ,6.7               ,6.697301237754063               ,0.08992853935186584            ,6.659106282577018         ,0.0807037039958022       ,-0.002698762245937125 ,0.002698762245937125   ,-0.04089371742298198  ,0.04089371742298198
Nc1cccc(C23SCCN2C(=O)c2ccccc23)c1                                                                            ,Nc1cccc(C23SCCN2C(=O)c2ccccc23)c1                                                                            ,282.368           ,2.6725000000000008 ,5.34              ,5.495040098610227               ,0.09971759890017351            ,5.476828386431972         ,0.11540774790044965      ,0.15504009861022716   ,0.15504009861022716    ,0.13682838643197215   ,0.13682838643197215
CCOc1ccc(F)c(CCNC(=S)Nc2ccc(I)cn2)c1Cl                                                                       ,CCOc1ccc(F)c(CCNC(=S)Nc2ccc(I)cn2)c1Cl                                                                       ,479.74600000000015,4.406500000000003  ,7.494999999999999 ,7.454798569092828               ,0.06006535742772411            ,7.263026376652631         ,0.11846290216965377      ,-0.04020143090717099  ,0.04020143090717099    ,-0.23197362334736837  ,0.23197362334736837
CCCC#CC1(C(F)(F)F)OC(=O)Nc2ccc(N)cc21                                                                        ,CCCC#CC1(C(F)(F)F)OC(=O)Nc2ccc(N)cc21                                                                        ,298.26400000000007,3.392000000000001  ,5.82              ,5.885559970110009               ,0.07917500945906467            ,6.061503019130918         ,0.17371640139503397      ,0.06555997011000869   ,0.06555997011000869    ,0.24150301913091798   ,0.24150301913091798
Cc1cc(Cl)cc(S(=O)(=O)c2cccc(N)c2C#N)c1                                                                       ,Cc1cc(Cl)cc(S(=O)(=O)c2cccc(N)c2C#N)c1                                                                       ,306.77400000000006,2.9351000000000003 ,8.3               ,7.923144720110709               ,0.31618463326378415            ,7.439913907225299         ,0.4006474439003334       ,-0.3768552798892921   ,0.3768552798892921     ,-0.8600860927747016   ,0.8600860927747016
Cc1onc(-c2ccccc2Cl)c1C(=O)c1ccc(O)c(C(=O)O)c1                                                                ,Cc1onc(-c2ccccc2Cl)c1C(=O)c1ccc(O)c(C(=O)O)c1                                                                ,357.74900000000014,3.9382200000000016 ,4.0               ,4.2253839791772325              ,0.15446064903881584            ,5.0369231334277735        ,0.26515126862001265      ,0.22538397917723252   ,0.22538397917723252    ,1.0369231334277735    ,1.0369231334277735
COc1ccc(OC)c(CCNC(=S)Nc2ccc(Cl)cn2)c1                                                                        ,COc1ccc(OC)c(CCNC(=S)Nc2ccc(Cl)cn2)c1                                                                        ,351.85900000000004,3.2813000000000008 ,7.75              ,7.449695622532961               ,0.19187865390681758            ,6.697124228683181         ,0.16140559992698925      ,-0.30030437746703864  ,0.30030437746703864    ,-1.0528757713168186   ,1.0528757713168186
CC(C)=CCN1CCn2c(=O)[nH]c3ccc(Cl)c(c32)C1C                                                                    ,CC(C)=CCN1CCn2c(=O)[nH]c3ccc(Cl)c(c32)C1C                                                                    ,305.80900000000014,3.325800000000002  ,6.84              ,6.4787784767810965              ,0.147237719497344              ,5.924872654052441         ,0.23521998811688208      ,-0.36122152321890333  ,0.36122152321890333    ,-0.9151273459475586   ,0.9151273459475586
CCc1ccnc2c1N(C)C(=O)c1cccnc1N2CC                                                                             ,CCc1ccnc2c1N(C)C(=O)c1cccnc1N2CC                                                                             ,282.3470000000001 ,2.7870000000000013 ,6.96              ,6.503513037186623               ,0.12203652134785038            ,5.987144232335703         ,0.05420953805685212      ,-0.45648696281337653  ,0.45648696281337653    ,-0.9728557676642966   ,0.9728557676642966
CCc1cn([C@@H]2O[C@H](CO[Si](C)(C)C(C)(C)C)[C@@]3(OS(=O)(=O)C=C3N)[C@H]2O[Si](C)(C)C(C)(C)C)c(=O)[nH]c1=O     ,CCc1cn([C@@H]2O[C@H](CO[Si](C)(C)C(C)(C)C)[C@@]3(OS(=O)(=O)C=C3N)[C@H]2O[Si](C)(C)C(C)(C)C)c(=O)[nH]c1=O     ,603.8870000000003 ,3.307500000000001  ,5.27              ,5.367794252260495               ,0.06641962046639602            ,5.421803439756782         ,0.07713759115325593      ,0.09779425226049554   ,0.09779425226049554    ,0.15180343975678223   ,0.15180343975678223
CCN1c2ncccc2-c2nccn2-c2ccc(O)nc21                                                                            ,CCN1c2ncccc2-c2nccn2-c2ccc(O)nc21                                                                            ,279.303           ,2.506300000000001  ,4.8900000000000015,5.018817740899719               ,0.11005671777556957            ,5.1941932470647965        ,0.1005879706882413       ,0.12881774089971731   ,0.12881774089971731    ,0.304193247064795     ,0.304193247064795
